1;BFA049;431;Centre-Nord;311.2314;220.2915
18;NGA033;432;Rivers;417.3823;327.5625
18;NGA030;433;Osun;387.9985;292.5254
9;GHA031;434;Upper West;297.0605;256.7676
3;CAF042;435;Nana-Gribizi;569.5762;298.043
22;TGO001;436;Centrale;341.418;279.563
1;BFA057;437;Sud-Ouest;285.0234;252.2061
5;CMR007;438;Nord-Ouest;457.7734;307.6426
14;LBR012;439;Nimba;218.3389;301.8828
2;BEN005;440;Collines;356;285.3228
1;BFA046;441;Boucle du Mouhoun;272.8022;229.4063
3;CAF022;442;Nana-Mambere;516.749;316.5195
4;CIV023;443;Worodougou;243.8823;282.2007
4;CIV003;444;Bas-Sassandra;238.8379;320.5977
6;COG002;445;Cuvette-Ouest;507.3926;387.5479
2;BEN007;446;Donga;351.6538;270.2021
4;CIV010;447;N'zi-Comoe;274.3911;298.7578
12;GNB005;448;Gabu;150.3179;234.2056
19;SEN006;449;Kedougou;170.7368;225.5664
4;CIV004;450;Denguele;232.4717;266.3701
21;TCD010;451;Mandoul;550.5625;278.1313
6;COG005;452;Lékoumou;499.0488;427.6328
20;SLE003001;453;Bo;183.8677;287.4883
6;COG008;454;Plateaux;345.2842;294.9292
3;CAF011;455;Ombella M'Poko;549.4229;323.0039
4;CIV006;456;Lacs;265.6685;300.9268
3;CAF021;457;Mambere-Kadei;523.3906;330.4414
18;NGA009;458;Cross River;431.7539;314.3613
6;COG004;459;Kouilou;480.7305;442.0283
1;BFA053;460;Hauts-Bassins;269.5845;244.2891
9;GHA025;461;Brong Ahafo;303.5527;286.7739
21;TCD003;462;Chari-Baguirmi;529.7686;245.4985
9;GHA033;463;Western;297.6475;315.5713
3;CAF041;464;Kemo;572.5898;314.8496
5;CMR004;465;Extreme-Nord;507.3457;252.2173
8;GAB002;466;Haut-Ogooue;498.1699;405.3223
18;NGA016;467;Gombe;470.7617;256.5371
8;GAB001;468;Estuaire;457.2969;384.4414
1;BFA057;469;Sud-Ouest;443.8867;323.9668
8;GAB007;470;Ogooue-Lolo;482.5156;399.3203
3;CAF031;471;Ouham Pende;525.3906;303.0879
14;LBR015;472;Sinoe;219.4639;321.8105
12;GNB006;473;Oio;137.6362;234.2212
18;NGA013;474;Ekiti;398.561;290.6128
10;GIN003;475;Faranah;190.3452;255.5771
23;902;476;Kasai Central;606.877;467.4766
9;GHA032;477;Volta;336.25;296.6143
3;CAF063;478;Haut-Mbomou;649.1924;308.3711
18;NGA002;479;Adamawa;482.2012;270.2173
21;TCD019;480;Barh-El-Gazal;537.2324;205.9043
10;GIN008;481;Nzerekore;213.1172;281.2559
22;TGO002;482;Kara;343.1841;266.854
19;SEN007;483;Kolda;148.1953;224.1382
10;GIN007;484;Mamou;172.3799;251.2539
21;TCD005;485;Hadjer-Lamis;526.8379;229.418
5;CMR008;486;Ouest;464.7422;318.6885
21;TCD016;487;Tandjile;539.4248;267.5762
14;LBR008;488;Lofa;206.0029;285.814
16;MRT005;489;Gorgol;167.2617;185.7427
1;BFA047;490;Cascades;267.1924;255.335
19;SEN010;491;Saint Louis;137.3677;183.1045
3;CAF051;492;Bamingui-Bangoran;578.6377;278.6152
8;GAB006;493;Ogooue-Ivindo;491.3438;377.9648
8;GAB005;494;Nyanga;469.9648;426.9189
19;SEN012;495;Tambacounda;153.1748;212.3813
18;NGA029;496;Ondo;397.2554;298.5342
2;BEN002;497;Atacora;348.3022;252.9395
18;NGA026;498;Nasarawa;430.7441;281.0146
3;CAF012;499;Lobaye;553.3125;336.6885
9;GHA027;500;Eastern;322.8652;308.6094
1;BFA054;501;Nord;302.2817;216.2134
18;NGA018;502;Jigawa;450.4482;231.8135
16;MRT008;503;Hodh El Gharbi;198.5308;174.9375
18;NGA021;504;Katsina;425.3027;228.4541
9;GHA024;505;Ashanti;308.4399;302.1289
18;NGA010;506;Delta;404.4312;319.4063
21;TCD013;507;Moyen-Chari;563.502;269.0122
18;NGA028;508;Ogun;371.5806;299.249
2;BEN008;509;Littoral;458.584;335.9668
8;GAB009;510;Woleu-Ntem;479.6279;369.084
23;403;511;Sud-Ubangi;570.3477;353.7207
19;SEN009;512;Matam;155.6357;196.2974
23;405;513;Nord-Ubangi;596.7217;339.3223
19;SEN008;514;Louga;133.1289;192.9375
10;GIN005;515;Kindia;165.2842;258.9326
18;NGA037;516;Zamfara;403.4409;236.375
18;NGA020;517;Kano;438.7422;239.4927
23;20;518;Kongo Central;505.1035;455.4707
21;TCD014;519;Ouaddai;597.4668;216.6934
2;BEN004;520;Borgou;363.3643;264.209
2;BEN011;521;Plateau;451.3506;271.4072
18;NGA012;522;Edo;407.1694;305.4805
17;NER003;523;Dosso;373.9453;221.4888
16;MRT003;524;Brakna;158.7729;170.376
18;NGA007;525;Benue;441.748;295.4048
18;NGA034;526;Sokoto;397.647;223.1748
4;CIV011;527;Savanes;254.5723;265.8901
10;GIN006;528;Labe;179.3027;239.4927
8;GAB004;529;Ngounie;467.2646;408.916
6;COG008;530;Plateaux;523.0986;414.4365
2;BEN001;531;Alibori;365.4185;244.7725
5;CMR001;532;Adamaoua;494.1641;302.3672
17;NER004;533;Maradi;423.6709;209.4946
18;NGA019;534;Kaduna;428.2021;256.7671
6;COG003;535;Cuvette;533.3125;395.9531
23;61;536;Nord-Kivu;689.291;398.832
21;TCD007;537;Lac;512.3555;215.25
21;TCD017;538;Wadi Fira;597.7773;198.4512
6;COG007;539;Niari;490.1484;426.9082
18;NGA024;540;Kwara;391.9453;277.6426
4;CIV016;541;Zanzan;288.2754;278.3608
16;MRT002;542;Assaba;180.5313;178.2939
16;MRT009;543;Inchiri;140.7769;134.1421
3;CAF062;544;Mbomou;625.084;318.6846
23;804;545;Lomami;645.1641;464.1094
18;NGA031;546;Oyo;376.8252;284.3662
10;GIN001;547;Boke;150.1606;245.7285
23;406;548;Mongala;596.8711;361.877
18;NGA023;549;Kogi;418.9756;290.8438
1;BFA056;550;Sahel;321.4409;205.8926
23;62;551;Sud-Kivu;684.2734;428.8311
18;NGA022;552;Kebbi;382.3931;236.3711
3;CAF053;553;Vakaga;614.9063;264.209
21;TCD015;554;Salamat;590.7168;254.1294
23;705;555;Haut-Lomami;645.2676;493.3867
21;TCD020;556;Ennedi Est;619.9082;162.939
9;GHA029;557;Northern;312.1646;269.9678
6;COG006;558;Likouala;548.8506;364.0381
6;COG009;559;Pool;523.1221;435.3086
3;CAF043;560;Ouaka;593.3008;310.7598
6;COG010;561;Sangha;527.0654;370.9951
3;CAF052;562;Haute-Kotto;617.0283;293.7236
3;CAF032;563;Ouham;553.3086;300.6836
18;NGA005;564;Bauchi;453.1855;257.0093
21;TCD004;565;Guera;560.749;242.8491
15;MLI002;566;Koulikoro;229.5654;215.7295
15;MLI004;567;Segou;253.8545;213.3296
21;TCD021;568;Sila;603.4404;234.21
21;TCD023;569;Ennedi Ouest;589.25;154.7759
10;GIN004;570;Kankan;211.8613;254.6055
15;MLI003;571;Sikasso;241.1641;247.4063
18;NGA036;572;Yobe;476.8291;232.5278
23;504;573;Haut-Uele;693.9834;346.0381
23;707;574;Haut-Katanga;670.8623;530.3389
18;NGA035;575;Taraba;461.1064;286.7656
18;NGA008;576;Borno;500.0117;237.8071
5;CMR009;577;Sud;475.8008;353.9551
16;MRT007;578;Hodh Ech Chargi;229.9072;156.6958
16;MRT013;579;Trarza;141.146;161.9756
17;NER006;580;Tillabery;354.4492;208.772
23;706;581;Tanganyka;677.5039;471.7852
23;402;582;Equateur;569.8145;385.6348
23;305;583;Kwango;559.8701;475.3867
21;TCD006;584;Kanem;522.0898;196.2935
5;CMR002;585;Centre;480.1738;329.2393
23;302;586;Mai-Ndombe;558.9375;422.5918
23;407;587;Tshuapa;603.9473;398.5898
23;704;588;Lualaba;621.4092;513.2988
16;MRT011;589;Tagant;196.5342;152.1343
15;MLI005;590;Mopti;284.7119;202.2871
17;NER005;591;Tahoua;395.8926;188.3687
23;303;592;Kwilu;569.6611;448.9824
1;BFA052;593;Est;345.4224;233.4839
1;BFA054;594;Nord;507.4531;280.999
23;63;595;Maniema;657.2969;427.626
18;NGA027;596;Niger;403.8403;262.5229
23;803;597;Sankuru;625.4063;432.667
17;NER002;598;Diffa;498.8262;187.4165
15;MLI008;599;Kidal;342.731;141.8213
23;502;600;Tshopo;650.8467;382.2754
17;NER007;601;Zinder;453.3809;198.6934
21;TCD002;602;Borkou;558.3262;170.6138
15;MLI001;603;Kayes;197.9199;213.0918
16;MRT012;604;Tiris-Zemmour;202.6084;81.5854
23;903;605;Kasai;595.8418;450.4287
23;505;606;Ituri;704.2305;367.6406
23;503;607;Bas-Uele;649.6221;342.4395
21;TCD001;608;Batha;569.4727;211.1719
17;NER001;609;Agadez;466.4707;141.583
16;MRT001;610;Adrar;193.7622;124.063
15;MLI007;611;Gao;352.9663;179.2573
15;MLI006;612;Tombouctou;274.3877;134.6216
21;TCD022;613;Tibesti;561.4668;125.5029
1;BFA052;614;Est;508.6055;340.2822
