country;;name;x;y
TCD;;Ouham Pende;525.3906;303.0879
NER;;Sinoe;219.4639;321.8105
TCD;;Oio;137.6362;234.2212
BEN;;Ekiti;398.561;290.6128
COG;;Faranah;190.3452;255.5771
COG;;Kasai Central;606.877;467.4766
NER;;Volta;336.25;296.6143
COG;;Haut-Mbomou;649.1924;308.3711
NGA;;Adamawa;482.2012;270.2173
BEN;;Barh-El-Gazal;537.2324;205.9043
TCD;;Nzerekore;213.1172;281.2559
COG;;Kara;343.1841;266.854
COG;;Kolda;148.1953;224.1382
TCD;;Mamou;172.3799;251.2539
COG;;Hadjer-Lamis;526.8379;229.418
TCD;;Ouest;464.7422;318.6885
NER;;Tandjile;539.4248;267.5762
NGA;;Lofa;206.0029;285.814
COG;;Gorgol;167.2617;185.7427
BEN;;Cascades;267.1924;255.335
TCD;;Saint Louis;137.3677;183.1045
BEN;;Bamingui-Bangoran;578.6377;278.6152
TCD;;Ogooue-Ivindo;491.3438;377.9648
TCD;;Nyanga;469.9648;426.9189
NER;;Tambacounda;153.1748;212.3813
TCD;;Ondo;397.2554;298.5342
BEN;;Atacora;348.3022;252.9395
TCD;;Nasarawa;430.7441;281.0146
NGA;;Lobaye;553.3125;336.6885
BEN;;Eastern;322.8652;308.6094
TCD;;Nord;302.2817;216.2134
COG;;Jigawa;450.4482;231.8135
COG;;Hodh El Gharbi;198.5308;174.9375
COG;;Katsina;425.3027;228.4541
GHA;;Ashanti;308.4399;302.1289
BEN;;Delta;404.4312;319.4063
TCD;;Moyen-Chari;563.502;269.0122
TCD;;Ogun;371.5806;299.249
NGA;;Littoral;458.584;335.9668
NER;;Woleu-Ntem;479.6279;369.084
NER;;Sud-Ubangi;570.3477;353.7207
TCD;;Matam;155.6357;196.2974
TCD;;Nord-Ubangi;596.7217;339.3223
TCD;;Louga;133.1289;192.9375
COG;;Kindia;165.2842;258.9326
NER;;Zamfara;403.4409;236.375
COG;;Kano;438.7422;239.4927
COG;;Kongo Central;505.1035;455.4707
TCD;;Ouaddai;597.4668;216.6934
BEN;;Borgou;363.3643;264.209
TCD;;Plateau;451.3506;271.4072
BEN;;Edo;407.1694;305.4805
BEN;;Dosso;373.9453;221.4888
BEN;;Brakna;158.7729;170.376
BEN;;Benue;441.748;295.4048
NER;;Sokoto;397.647;223.1748
TCD;;Savanes;254.5723;265.8901
NGA;;Labe;179.3027;239.4927
TCD;;Ngounie;467.2646;408.916
TCD;;Plateaux;523.0986;414.4365
BEN;;Alibori;365.4185;244.7725
CMR;;Adamaoua;494.1641;302.3672
TCD;;Maradi;423.6709;209.4946
COG;;Kaduna;428.2021;256.7671
BEN;;Cuvette;533.3125;395.9531
TCD;;Nord-Kivu;689.291;398.832
NGA;;Lac;512.3555;215.25
NER;;Wadi Fira;597.7773;198.4512
TCD;;Niari;490.1484;426.9082
COG;;Kwara;391.9453;277.6426
NER;;Zanzan;288.2754;278.3608
MRT;;Assaba;180.5313;178.2939
COG;;Inchiri;140.7769;134.1421
TCD;;Mbomou;625.084;318.6846
NGA;;Lomami;645.1641;464.1094
TCD;;Oyo;376.8252;284.3662
BEN;;Boke;150.1606;245.7285
TCD;;Mongala;596.8711;361.877
COG;;Kogi;418.9756;290.8438
TCD;;Sahel;321.4409;205.8926
NER;;Sud-Kivu;684.2734;428.8311
COG;;Kebbi;382.3931;236.3711
NER;;Vakaga;614.9063;264.209
TCD;;Salamat;590.7168;254.1294
COG;;Haut-Lomami;645.2676;493.3867
BEN;;Ennedi Est;619.9082;162.939
TCD;;Northern;312.1646;269.9678
NGA;;Likouala;548.8506;364.0381
TCD;;Pool;523.1221;435.3086
TCD;;Ouaka;593.3008;310.7598
TCD;;Sangha;527.0654;370.9951
COG;;Haute-Kotto;617.0283;293.7236
TCD;;Ouham;553.3086;300.6836
BEN;;Bauchi;453.1855;257.0093
COG;;Guera;560.749;242.8491
COG;;Koulikoro;229.5654;215.7295
TCD;;Segou;253.8545;213.3296
NER;;Sila;603.4404;234.21
BEN;;Ennedi Ouest;589.25;154.7759
COG;;Kankan;211.8613;254.6055
TCD;;Sikasso;241.1641;247.4063
NER;;Yobe;476.8291;232.5278
COG;;Haut-Uele;693.9834;346.0381
COG;;Haut-Katanga;670.8623;530.3389
NER;;Taraba;461.1064;286.7656
BEN;;Borno;500.0117;237.8071
NER;;Sud;475.8008;353.9551
COG;;Hodh Ech Chargi;229.9072;156.6958
NER;;Trarza;141.146;161.9756
NER;;Tillabery;354.4492;208.772
NER;;Tanganyka;677.5039;471.7852
BEN;;Equateur;569.8145;385.6348
COG;;Kwango;559.8701;475.3867
COG;;Kanem;522.0898;196.2935
BEN;;Centre;480.1738;329.2393
TCD;;Mai-Ndombe;558.9375;422.5918
NER;;Tshuapa;603.9473;398.5898
TCD;;Lualaba;621.4092;513.2988
NER;;Tagant;196.5342;152.1343
TCD;;Mopti;284.7119;202.2871
NER;;Tahoua;395.8926;188.3687
COG;;Kwilu;569.6611;448.9824
BEN;;Est;345.4224;233.4839
TCD;;Nord;507.4531;280.999
TCD;;Maniema;657.2969;427.626
TCD;;Niger;403.8403;262.5229
TCD;;Sankuru;625.4063;432.667
BEN;;Diffa;498.8262;187.4165
COG;;Kidal;342.731;141.8213
NER;;Tshopo;650.8467;382.2754
NER;;Zinder;453.3809;198.6934
BEN;;Borkou;558.3262;170.6138
COG;;Kayes;197.9199;213.0918
NER;;Tiris-Zemmour;202.6084;81.5854
COG;;Kasai;595.8418;450.4287
COG;;Ituri;704.2305;367.6406
BEN;;Bas-Uele;649.6221;342.4395
BEN;;Batha;569.4727;211.1719
NER;;Agadez;466.4707;141.583
MRT;;Adrar;193.7622;124.063
COG;;Gao;352.9663;179.2573
NER;;Tombouctou;274.3877;134.6216
NER;;Tibesti;561.4668;125.5029
BEN;;Est;508.6055;340.2822
